,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
01:48:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
01:50:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
01:52:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
01:54:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
01:56:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
01:58:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:00:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:02:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:04:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:06:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:08:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:10:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:12:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:14:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:16:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:18:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:20:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:22:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:24:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:26:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:28:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:30:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:32:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:34:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:36:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:38:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:40:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:42:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:44:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:46:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:48:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:50:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:52:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:54:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:56:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
02:58:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:00:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:02:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:04:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:06:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:08:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:10:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:12:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:14:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:16:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:18:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:20:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:22:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:24:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:26:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:28:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:30:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:32:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:34:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:36:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:38:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:40:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:42:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:44:09,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
03:46:08,0,1,5,30,33,28,30,8,38,35,37,3,25,17,13,13,29,30,3,2,6,0,0,26,26,2,0,0,12,0,4,29,0,5,1,20,14,0,0,0,2,0,0,4,15,36,23,12,0,13,5,0,40,25,0,0,7,6,13,0,3,18,0,5,0,31,0,30,37,37,39,1,0,1,14,38,5,5,8,30,22,20,23,19,35,38,29,39,29,0,0,26,26,40,18,0,3,1,5,0,0
